Obteniendo ofertas de servicios...
OK
ID                                                                   Nombre                                                     Proveedor                           Etiquetas   
6777716b-e36e-4e9c-a239-6b9ed99dc12c                                 contrast-security                                          Contrast Security                   gc_migrate,ibm_dedicated_public,ibm_third_party,security   
7045626d-55e3-4418-be11-683a26dbc1e5                                 conversation                                               IBM                                 apidocs_enabled,chatbot,eu_access,gc_migrate,hipaa,ibm_created,ibm_dedicated_public,ibm_release,lite,rc_compatible,watson   
9e02e72d-00ce-4220-b44c-650c8314e58a                                 dashdb                                                     IBM                                 apidocs_enabled,data_management,database,db2,dedicated,ibm_created,ibm_dedicated_public,ibm_release   
dashdb-for-transactions                                              dashdb-for-transactions                                    IBM                                 apidocs_enabled,big_data,dash,dashdb,database,db2,db2 on cloud,db2oncloud,dbaas,eu_access,flex,ibm_created,ibm_dedicated_public,oracle,purescale,rc_compatible,sql,sqldb,transactions   
39ba9d4c-b1c5-4cc3-a163-38b580121e01                                 data-science-experience                                    IBM                                 data science experience,disable_reclamation,dsx,gc_migrate,hipaa,ibm_created,lite,studio,watson   
46a4e75b-8ce6-4a51-9125-76c1652fb787                                 data-shield                                                IBM                                 ibm_created,ibm_release,rc_compatible,security   
0b5f9176-abd0-4c0d-8e25-63a79b358f9e                                 data-store-for-memcache                                    IBM                                 big_data,database,ibm_created,ibm_deprecated,ibm_experimental,rc_compatible,web_and_app   
databases-for-cassandra                                              databases-for-cassandra                                    IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ComposeElasticsearch-P                                               compose-for-elasticsearch                                  IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_created,ibm_dedicated_public   
databases-for-elasticsearch                                          databases-for-elasticsearch                                IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
databases-for-enterprisedb                                           databases-for-enterprisedb                                 IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ComposeEtcd-P                                                        compose-for-etcd                                           IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_beta,ibm_created,ibm_dedicated_public   
databases-for-etcd                                                   databases-for-etcd                                         IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ComposeMongo-P                                                       compose-for-mongodb                                        IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_created,ibm_dedicated_public   
databases-for-mongodb                                                databases-for-mongodb                                      IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ComposePostgreSQL-P                                                  compose-for-postgresql                                     IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_created,ibm_dedicated_public   
databases-for-postgresql                                             databases-for-postgresql                                   IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ComposeRedis-P                                                       compose-for-redis                                          IBM                                 big_data,data_management,database,eu_access,gc_migrate,ibm_created,ibm_dedicated_public   
databases-for-redis                                                  databases-for-redis                                        IBM                                 data_management,database,disable_reclamation,eu_access,hipaa,ibm_created,rc_compatible,service_endpoint_supported   
ed3a5a53-eb60-4f3c-8fd1-17f88585b6ed                                 datacatalog                                                IBM                                 apidocs_enabled,gc_migrate,hipaa,ibm_created,lite,watson   
dd0532c0-f87c-11ea-be25-c9dc051df74f                                 datastage                                                  IBM                                 ibm_created,integration,lite,rc_compatible   
3d6e097c-b3b2-482a-b92d-6da183602cb6                                 db2oncloud                                                 IBM                                 data_management,database,db,db2,db2 cloud,db2 on cloud,db2cloud,db2hosted,db2oncloud,dbaas,gc_migrate,hosted,ibm_created,ibm_dedicated_public,oracle,purescale,relational   
5b45fd07-d6cf-4596-b95e-2d3257267fd3                                 difitek                                                    Difitek Inc                         dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
86fb7610-0f92-11ea-a6a3-8b96ed1570d8                                 directlink.connect                                         IBM                                 apidocs_enabled,directlink,financial services,financial services validated,fs cloud,fs_ready,fss,ibm_beta,ibm_created,network,network_vpc,rc_compatible   
dc11a440-6073-11e9-9f5a-2f7997ba23c0                                 directlink.dedicated                                       IBM                                 apidocs_enabled,directlink,financial services,financial services validated,fs cloud,fs_ready,fss,ibm_created,ibm_release,network,network_vpc,rc_compatible   
76b7bf22-b443-47db-b3db-066ba2988f47                                 discovery                                                  IBM                                 apidocs_enabled,eu_access,ibm_created,ibm_dedicated_public,lite,rc_compatible,service_endpoint_supported,watson   
b86e2b60-2455-11eb-aa2e-d9b1d586d93f                                 dizziondaas                                                Dizzion                             compute,daas,hipaa,ibm_third_party,pci,rc_compatible,supports_syndication,vdi,vmware   
b4ed8a30-936f-11e9-b289-1d079699cbe5                                 dns-svcs                                                   IBM                                 api docs enabled,apidocs_enabled,financial services,fs cloud,fs_ready,fss,iaas,iam_compatible,ibm_created,network,network_vpc,rc_compatible   
069e47d4-2fe3-4292-8697-f3a7e3d04dc4                                 driverinsights                                             IBM                                 ibm_created,ibm_dedicated_public,ibm_deprecated,internet_of_things   
618c27d5-6f91-4615-baa1-9efb76e7814b                                 dwolla                                                     Dwolla, Inc.                        dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
81cda9f0-b9c3-11e7-acad-0d931c5f18f1                                 dynamic-dashboard-embedded                                 IBM                                 business_analytics,gc_migrate,ibm_created,rc_compatible   
25929010-dbe4-11ea-aa5a-0b16aa325bc2                                 education                                                  IBM                                 compute,ibm_created,lite,rc_compatible   
aad5c038-a44d-4a3e-b8c2-133ca3e2655b                                 envestnet---yodlee                                         Envestnet | Yodlee                  dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
8c455b2d-79dc-45c3-8a31-c72b924ec833                                 esri-arcgis-for-developers                                 Esri                                dev_ops,devops,gc_migrate,ibm_dedicated_public,ibm_third_party   
2a001640-21f1-466e-b6f0-d227c353a823                                 fss-financial-optimization-service                         IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
BE3AADC2-2C1A-4078-82F0-A33B1FD86EB0                                 fss-historical-instrument-analytics-service                IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
ABB08BA3-D14D-4BD9-A5E6-EF67C52D35C0                                 fss-historical-scenario-analytics-service                  IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
EEB04BA5-25BB-4E52-AAE5-9C7BEF86543B                                 fss-instrument-analytics-service                           IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
3b960983-4483-488a-9851-6f7cccdb3534                                 fss-portfolio-service                                      IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
C43B3EB0-F56B-4753-92E4-093815814C1E                                 fss-predictive-scenario-analytics-service                  IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
A888FFEA-E976-4F83-B7EC-288233BF62E6                                 fss-scenario-analytics-service                             IBM                                 apidocs_enabled,finance,ibm_created,ibm_experimental   
functions                                                            functions                                                  IBM                                 api docs enabled,apidocs_enabled,eu access support,faas,hipaa,ibm_created,ibm_release,knative,openwhisk,rc_compatible,serverless   
9d788e08-1b4a-4504-920a-d2842b72f36d                                 fundingshield---wire-account-verification-service--wavs-   Fundingshield LLC                   dev_ops,devops,gc_migrate,ibm_dedicated_public,ibm_third_party,private   
7de32cac-4055-4166-92e8-b65baace7bca                                 fusionauth                                                 FusionAuth                          gc_migrate,ibm_dedicated_public,ibm_third_party,security   
6f6e0937-6110-42eb-8988-3a1999854d20                                 g11n-pipeline                                              IBM                                 dev_ops,ibm_created,ibm_dedicated_public,ibm_release   
f42f47a0-f793-4b45-ad11-782cc565df16                                 geo-web-services                                           Kitewalk                            dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party   
44c0c895-6016-404e-94ef-6c0b8848c761                                 geospatial-analytics                                       IBM InfoSphere� Streams             analytics,big_data,ibm_created,ibm_dedicated_public,ibm_deprecated   
1564e6bd-9b6c-44dd-8402-d3818d9664c5                                 hazardhub-property-risk-data-api                           HazardHub Inc                       dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
0db0a19f-b20e-4a52-8cc7-2821a28c26b0                                 health-score                                               dacadoo AG                          dev_ops,devops,gc_migrate,ibm_dedicated_public,ibm_third_party,private   
1e754a80-62eb-11e8-8081-896abbd4f1e8                                 hpcaas-from-rescale-prod                                   Rescale                             dev_ops,devops,ibm_deprecated,ibm_third_party,rc_compatible   
